Number of Features,Training Accuracy,Test Accuracy,Precision,Recall,F1-Score,ROC AUC
21,99.45%,73.86%,71.23%,78.57%,74.72%,81.11%
19,99.45%,73.86%,71.23%,78.57%,74.72%,81.11%
17,99.45%,73.86%,71.23%,78.57%,74.72%,81.11%
15,99.45%,73.86%,71.23%,78.57%,74.72%,81.11%
13,99.45%,73.86%,71.23%,78.57%,74.72%,81.11%
11,99.45%,73.86%,71.23%,78.57%,74.72%,81.11%
9,99.45%,73.86%,71.23%,78.57%,74.72%,81.11%
7,99.45%,73.86%,71.23%,78.57%,74.72%,81.11%
5,99.45%,73.86%,71.23%,78.57%,74.72%,81.11%
3,99.45%,73.86%,71.23%,78.57%,74.72%,81.11%
1,99.45%,73.86%,71.23%,78.57%,74.72%,81.11%
